Label,Position,CG,Class,Number,Verb,Group,Sentence,Sagen,Given,Answer,Claim,Question
Rating,V2,NEW,V2-NEW ,1,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:",Woher kommt die Vermieterin?,"<font color=""blue"">Frans</font> antwortet:","<i>  Leah hat gesagt, die Vermieterin ist Franz&ouml;in. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,1,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:",Woher kommt die Vermieterin?,"<font color=""blue"">Frans</font> antwortet:","<i>  Leah hat gesagt, dass die Vermieterin Franz&ouml;in ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,1,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:","Die Vermieterin ist Franz&ouml;in, denkst du nicht?","<font color=""blue"">Frans</font> antwortet:","<i>  Ja, Leah hat gesagt, die Vermieterin ist Franz&ouml;in. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,1,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emilie</font> und  <font color=""blue"">Frans</font>. ","Du h&ouml;rst  <font color=""green"">Emilie</font> sagen:","Die Vermieterin ist Franz&ouml;in, denkst du nicht?","<font color=""blue"">Frans</font> antwortet:","<i>  Ja, Leah hat gesagt, dass die Vermieterin Franz&ouml;in ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,2,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:",Gibt es Neuigkeiten &uuml;ber Klaus?,"<font color=""blue"">Emma</font> antwortet:","<i> Lena hat gesagt, Klaus ist der neue Lottogewinner.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,2,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:",Gibt es Neuigkeiten &uuml;ber Klaus?,"<font color=""blue"">Emma</font> antwortet:","<i> Lena hat gesagt, dass Klaus der neue Lottogewinner ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,2,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:","Klaus hat der Lotto gewonnen, glaube ich.","<font color=""blue"">Emma</font> antwortet:","<i> Ja, na klar! Lena hat gesagt, Klaus ist der neue Lottogewinner.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,2,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">John</font> und  <font color=""blue"">Emma</font>. ","Du h&ouml;rst  <font color=""green"">John</font> sagen:","Klaus hat der Lotto gewonnen, glaube ich.","<font color=""blue"">Emma</font> antwortet:","<i> Ja, na klar! Lena hat gesagt, dass Klaus der neue Lottogewinner ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,3,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:",Was hat Cornelia k&uuml;rzlich gemacht?,"<font color=""blue"">Agnes</font> antwortet:","<i> H&ouml;r mal! Leila hat erw&auml;hnt, Cornelia ist auf dem Cover von Der Spiegel. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,3,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:",Was hat Cornelia k&uuml;rzlich gemacht?,"<font color=""blue"">Agnes</font> antwortet:","<i> H&ouml;r mal! Leila hat erw&auml;hnt, dass Cornelia auf dem Cover von Der Spiegel ist. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,3,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:","Cornelia ist auf der Titelseite von Der Spiegel, h&ouml;rte ich.","<font color=""blue"">Agnes</font> antwortet:","<i> Stimmt! Leila hat erw&auml;hnt, Cornelia ist auf dem Cover von Der Spiegel. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,3,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Emil</font> und  <font color=""blue"">Agnes</font>. ","Du h&ouml;rst  <font color=""green"">Emil</font> sagen:","Cornelia ist auf der Titelseite von Der Spiegel, h&ouml;rte ich.","<font color=""blue"">Agnes</font> antwortet:","<i> Stimmt! Leila hat erw&auml;hnt, dass Cornelia auf dem Cover von Der Spiegel ist. </i> ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,4,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:",Was is eigentlich los mit Theodor?,"<font color=""blue"">Ella</font> antwortet:","<i> Ach! Nellie hat erw&auml;hnt, Theodor ist einer Sekte beigetreten. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,4,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:",Was is eigentlich los mit Theodor?,"<font color=""blue"">Ella</font> antwortet:","<i> Ach! Nellie hat erw&auml;hnt, dass Theodor einer Sekte beigetreten ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,4,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:","Theodor ist einer Sekte beigetreten, das ist aber seltsam!","<font color=""blue"">Ella</font> antwortet:","<i> Na klar! Nellie hat erw&auml;hnt, Theodor ist einer Sekte beigetreten. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,4,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Julie</font> und  <font color=""blue"">Ella</font>. ","Du h&ouml;rst  <font color=""green"">Julie</font> sagen:","Theodor ist einer Sekte beigetreten, das ist aber seltsam!","<font color=""blue"">Ella</font> antwortet:","<i> Na klar! Nellie hat erw&auml;hnt, dass Theodor einer Sekte beigetreten ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,5,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Kerstin</font> und  <font color=""blue"">Elliot</font>. ","Du h&ouml;rst  <font color=""green"">Kerstin</font> sagen:",Was macht Nils Vater eigentlich?,"<font color=""blue"">Elliot</font> antwortet:","<i>Nils hat gesagt, sein Vater ist B&uuml;rgermeister von Duisburg.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,5,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Kerstin</font> und  <font color=""blue"">Elliot</font>. ","Du h&ouml;rst  <font color=""green"">Kerstin</font> sagen:",Was macht Nils Vater eigentlich?,"<font color=""blue"">Elliot</font> antwortet:","<i>Nils hat gesagt, dass sein Vater B&uuml;rgermeister von Duisburg ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,5,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Kerstin</font> und  <font color=""blue"">Elliot</font>. ","Du h&ouml;rst  <font color=""green"">Kerstin</font> sagen:","Nils Vater ist B&uuml;rgermeister von Duisburg, habe ich geh&ouml;rt","<font color=""blue"">Elliot</font> antwortet:","<i>Stimmt. Nils hat gesagt, sein Vater ist B&uuml;rgermeister von Duisburg.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,5,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Kerstin</font> und  <font color=""blue"">Elliot</font>. ","Du h&ouml;rst  <font color=""green"">Kerstin</font> sagen:","Nils Vater ist B&uuml;rgermeister von Duisburg, habe ich geh&ouml;rt","<font color=""blue"">Elliot</font> antwortet:","<i>Stimmt. Nils hat gesagt, dass sein Vater B&uuml;rgermeister von Duisburg ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,6,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Filippa</font> und  <font color=""blue"">Alvin</font>. ","Du h&ouml;rst  <font color=""green"">Filippa</font> sagen:",Wie geht es Casper in der Schule?,"<font color=""blue"">Alvin</font> antwortet:","<i> Linnea hat erw&auml;hnt, Casper ist der beste Student.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,6,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Filippa</font> und  <font color=""blue"">Alvin</font>. ","Du h&ouml;rst  <font color=""green"">Filippa</font> sagen:",Wie geht es Casper in der Schule?,"<font color=""blue"">Alvin</font> antwortet:","<i> Linnea hat erw&auml;hnt, dass Casper der beste Student ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV  ,6,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Filippa</font> und  <font color=""blue"">Alvin</font>. ","Du h&ouml;rst  <font color=""green"">Filippa</font> sagen:","Kasper ist der beste Student, habe ich geh&ouml;rt","<font color=""blue"">Alvin</font> antwortet:","<i> Ja,  Linnea hat erw&auml;hnt, dass Casper der beste Student ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV  ,6,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Filippa</font> und  <font color=""blue"">Alvin</font>. ","Du h&ouml;rst  <font color=""green"">Filippa</font> sagen:","Kasper ist der beste Student, habe ich geh&ouml;rt","<font color=""blue"">Alvin</font> antwortet:","<i> Ja,  Linnea hat erw&auml;hnt, dass Casper der beste Student ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,7,mir erzahlen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">August</font> und  <font color=""blue"">Hedvig</font>. ","Du h&ouml;rst  <font color=""green"">August</font> sagen:",Wo war Ulrich eigentlich?,"<font color=""blue"">Hedvig</font> antwortet:","<i> Ach so! Maja hat mir erz&auml;hlt, Ulrich ist zu der Einweihungsparty gekommen.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,7,mir erzahlen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">August</font> und  <font color=""blue"">Hedvig</font>. ","Du h&ouml;rst  <font color=""green"">August</font> sagen:",Wo war Ulrich eigentlich?,"<font color=""blue"">Hedvig</font> antwortet:","<i> Ach so! Maja hat mir erz&auml;hlt, dass Ulrich zu der Einweihungsparty gekommen ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,7,mir erzahlen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">August</font> und  <font color=""blue"">Hedvig</font>. ","Du h&ouml;rst  <font color=""green"">August</font> sagen:","Ulrich war bei der Einweihungsparty, ich habe ihm gesehen.","<font color=""blue"">Hedvig</font> antwortet:","<i> Ach so! Maja hat mir erz&auml;hlt, Ulrich ist zu der Einweihungsparty gekommen.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,7,mir erzahlen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">August</font> und  <font color=""blue"">Hedvig</font>. ","Du h&ouml;rst  <font color=""green"">August</font> sagen:","Ulrich war bei der Einweihungsparty, ich habe ihm gesehen.","<font color=""blue"">Hedvig</font> antwortet:","<i> Ach so! Maja hat mir erz&auml;hlt, dass Ulrich zu der Einweihungsparty gekommen ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW  ,8,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gunnar</font> und  <font color=""blue"">Anton</font>. ","Du h&ouml;rst  <font color=""green"">Gunnar</font> sagen:",Was findet Frans von der Yoga-Lehrerin?,"<font color=""blue"">Anton</font> antwortet:","<i>Klara hat gesagt, Frans ist in die Yoga-Lehrerin verliebt.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,8,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gunnar</font> und  <font color=""blue"">Anton</font>. ","Du h&ouml;rst  <font color=""green"">Gunnar</font> sagen:",Was findet Frans von der Yoga-Lehrerin?,"<font color=""blue"">Anton</font> antwortet:","<i>Klara hat gesagt, dass Frans in die Yoga-Lehrerin verliebt ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,8,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gunnar</font> und  <font color=""blue"">Anton</font>. ","Du h&ouml;rst  <font color=""green"">Gunnar</font> sagen:","Frans ist in die Yoga-Lehrerin verliebt, das ist doch komisch.","<font color=""blue"">Anton</font> antwortet:","<i> Ach ja! Klara hat gesagt, Frans ist in die Yoga-Lehrerin verliebt.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,8,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gunnar</font> und  <font color=""blue"">Anton</font>. ","Du h&ouml;rst  <font color=""green"">Gunnar</font> sagen:","Frans ist in die Yoga-Lehrerin verliebt, das ist doch komisch.","<font color=""blue"">Anton</font> antwortet:","<i> Ach ja! Klara hat gesagt, dass Frans in die Yoga-Lehrerin verliebt ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,9,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Anna</font> und  <font color=""blue"">Saskia</font>. ","Du h&ouml;rst  <font color=""green"">Anna</font> sagen:",Was hat sich mit dem Autofahrer passiert?,"<font color=""blue"">Saskia</font> antwortet:","<i>Die Polizistin hat erw&auml;hnt, der Autofahrer ist unschuldig.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,9,erwahnen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Anna</font> und  <font color=""blue"">Saskia</font>. ","Du h&ouml;rst  <font color=""green"">Anna</font> sagen:",Was hat sich mit dem Autofahrer passiert?,"<font color=""blue"">Saskia</font> antwortet:","<i>Die Polizistin hat erw&auml;hnt, dass der Autofahrer unschuldig ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,9,erwahnen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Anna</font> und  <font color=""blue"">Saskia</font>. ","Du h&ouml;rst  <font color=""green"">Anna</font> sagen:","Der Autofahrer ist unschuldig, das ist unglaublich!","<font color=""blue"">Saskia</font> antwortet:","<i> Unerh&ouml;rt! Die Polizistin hat erw&auml;hnt, der Autofahrer ist unschuldig.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,9,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Anna</font> und  <font color=""blue"">Saskia</font>. ","Du h&ouml;rst  <font color=""green"">Anna</font> sagen:","Der Autofahrer ist unschuldig, das ist unglaublich!","<font color=""blue"">Saskia</font> antwortet:","<i> Unerh&ouml;rt! Die Polizistin hat erw&auml;hnt, dass der Autofahrer unschuldig ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW  ,10,mir erzahlen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Folke</font> und  <font color=""blue"">Amanda</font>. ","Du h&ouml;rst  <font color=""green"">Folke</font> sagen:","Also, wer ist der Derek eigentlich?","<font color=""blue"">Amanda</font> antwortet:","<i> Liv hat mir erz&auml;t, Derek ist ein neues Mitglied ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,10,mir erzahlen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Folke</font> und  <font color=""blue"">Amanda</font>. ","Du h&ouml;rst  <font color=""green"">Folke</font> sagen:","Also, wer ist der Derek eigentlich?","<font color=""blue"">Amanda</font> antwortet:","<i> Liv hat mir erz&auml;t, dass Derek ein neues Mitglied ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,10,mir erzahlen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Folke</font> und  <font color=""blue"">Amanda</font>. ","Du h&ouml;rst  <font color=""green"">Folke</font> sagen:","Derek stellte sich mir vor, weil er ein neues Mitglied ist.","<font color=""blue"">Amanda</font> antwortet:","<i> Ah ja! Liv hat mir erz&auml;t, Derek ist ein neues Mitglied ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,10,mir erzahlen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Folke</font> und  <font color=""blue"">Amanda</font>. ","Du h&ouml;rst  <font color=""green"">Folke</font> sagen:","Derek stellte sich mir vor, weil er ein neues Mitglied ist.","<font color=""blue"">Amanda</font> antwortet:","<i> Ah ja! Liv hat mir erz&auml;t, dass Derek ein neues Mitglied ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW  ,11,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Felicia</font> und  <font color=""blue"">Alicia</font>. ","Du h&ouml;rst  <font color=""green"">Felicia</font> sagen:",Weisst du mehr &uuml;ber Minnas Verstellungsgespr&auml;ch?,"<font color=""blue"">Alicia</font> antwortet:","<i> Sicherlich. Liam hat gesagt, Minna ist nicht qualifiziert. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,11,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Felicia</font> und  <font color=""blue"">Alicia</font>. ","Du h&ouml;rst  <font color=""green"">Felicia</font> sagen:",Weisst du mehr &uuml;ber Minnas Verstellungsgespr&auml;ch?,"<font color=""blue"">Alicia</font> antwortet:","<i> Sicherlich. Liam hat gesagt, dass Minna nicht qualifiziert ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,11,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Felicia</font> und  <font color=""blue"">Alicia</font>. ","Du h&ouml;rst  <font color=""green"">Felicia</font> sagen:","Minna ist nicht qualifiziert f&uuml;r den Job, das ist klar.","<font color=""blue"">Alicia</font> antwortet:","<i> Sicherlich. Liam hat gesagt, Minna ist nicht qualifiziert. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,11,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Felicia</font> und  <font color=""blue"">Alicia</font>. ","Du h&ouml;rst  <font color=""green"">Felicia</font> sagen:","Minna ist nicht qualifiziert f&uuml;r den Job, das ist klar.","<font color=""blue"">Alicia</font> antwortet:","<i> Sicherlich. Liam hat gesagt, dass Minna nicht qualifiziert ist. </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,12,erwahnen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frank</font> und  <font color=""blue"">Amalia</font>. ","Du h&ouml;rst  <font color=""green"">Frank</font> sagen:",Gibt es ein Update zu Joanna?,"<font color=""blue"">Amalia</font> antwortet:","<i> Sehr sicher! Livia hat erw&auml;hnt, Joanna ist in den Typen von nebenan verknallt.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,12,erwahnen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frank</font> und  <font color=""blue"">Amalia</font>. ","Du h&ouml;rst  <font color=""green"">Frank</font> sagen:",Gibt es ein Update zu Joanna?,"<font color=""blue"">Amalia</font> antwortet:","<i> Sehr sicher! Livia hat erw&auml;hnt, dass Joanna in den Typen von nebenan verknallt ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
